"TOA5","9810","CR3000","9810","CR3000.Std.32.03","CPU:CPk_BBSF_EC7m_20190519.CR3","56695","TimeSeriesData"
"TIMESTAMP","RECORD","Ux_CSAT3B","Uy_CSAT3B","Uz_CSAT3B","Ts_CSAT3B","rho_c_LI7500","rho_v_LI7500","P_LI7500","DIAG_LI7500"
"TS","RN","m/s","m/s","m/s","C","mg/m^3","g/m^3","kPa","unitless"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-11-19 22:30:00.1",1106265865,2.9465,1.938,0.54475,-8.966064,599.0942,0.5723746,73.26953,248
"2022-11-19 22:30:00.2",1106265866,3.16075,2.725,0.2935,-9.227112,599.1333,0.5736558,73.29552,248
"2022-11-19 22:30:00.3",1106265867,2.56075,3.18075,0.3785,-9.189819,599.2559,0.5729921,73.26855,248
"2022-11-19 22:30:00.4",1106265868,4.21,2.54625,1.374,-9.107147,599.4608,0.576643,73.26953,248
"2022-11-19 22:30:00.5",1106265869,2.90775,3.39925,0.0905,-9.108795,598.9396,0.5713873,73.26953,248
"2022-11-19 22:30:00.6",1106265870,2.55175,2.9605,-0.10975,-8.821777,598.5546,0.5661542,73.26953,248
"2022-11-19 22:30:00.7",1106265871,2.34825,2.98375,0.02275,-8.807129,598.6802,0.5704573,73.26953,248
"2022-11-19 22:30:00.8",1106265872,2.464,3.37575,-0.49675,-8.865509,598.7168,0.5723836,73.24353,248
"2022-11-19 22:30:00.9",1106265873,2.53175,3.60825,-0.109,-8.970947,598.8267,0.5690899,73.26953,248
"2022-11-19 22:30:01",1106265874,1.79775,3.67475,-0.76025,-9.065002,599.386,0.5764027,73.24353,248
"2022-11-19 22:30:01.1",1106265875,1.99825,3.93025,-0.64575,-9.097412,599.3692,0.5762123,73.24353,248
"2022-11-19 22:30:01.2",1106265876,1.92175,3.50125,-0.508,-8.893127,599.4724,0.5762325,73.26953,248
"2022-11-19 22:30:01.3",1106265877,0.9547501,2.96125,-0.34625,-9.077942,599.4742,0.5758144,73.26953,248
"2022-11-19 22:30:01.4",1106265878,0.923,3.63225,-0.489,-9.095825,599.0486,0.5767762,73.26953,248
"2022-11-19 22:30:01.5",1106265879,1.40975,3.9335,-0.6275001,-9.065002,599.1406,0.5742819,73.26855,248
"2022-11-19 22:30:01.6",1106265880,1.05375,4.03725,-0.6145,-8.803864,598.9564,0.5746931,73.26953,248
"2022-11-19 22:30:01.7",1106265881,1.09825,3.86275,-0.9005001,-9.058502,599.4199,0.576696,73.26953,248
"2022-11-19 22:30:01.8",1106265882,1.23,4.23725,-0.64375,-8.820129,599.3143,0.5746701,73.26855,248
"2022-11-19 22:30:01.9",1106265883,2.556,3.27675,-0.1995,-8.823395,598.9373,0.5787382,73.26953,248
"2022-11-19 22:30:02",1106265884,3.2145,2.53425,-0.57425,-8.854156,598.93,0.5760657,73.24353,248
"2022-11-19 22:30:02.1",1106265885,3.06725,1.88575,-0.3455,-8.888245,598.748,0.5747105,73.26953,248
"2022-11-19 22:30:02.2",1106265886,2.9835,1.93725,-0.655,-8.87854,598.7949,0.5707532,73.26855,248
"2022-11-19 22:30:02.3",1106265887,2.77,1.76275,-0.529,-8.886597,598.8386,0.5727327,73.26953,248
"2022-11-19 22:30:02.4",1106265888,2.79725,1.714,-0.739,-8.766602,598.854,0.5745606,73.26953,248
"2022-11-19 22:30:02.5",1106265889,2.86375,1.49875,-0.10725,-8.850952,598.9258,0.5730662,73.26953,248
"2022-11-19 22:30:02.6",1106265890,3.165,1.1935,1.046,-8.826599,598.7692,0.5730025,73.26953,248
"2022-11-19 22:30:02.7",1106265891,3.366,0.62775,0.07975,-8.964447,598.9886,0.5786747,73.26953,248
"2022-11-19 22:30:02.8",1106265892,3.002,0.74625,0.287,-8.89151,598.7555,0.5718328,73.26757,248
"2022-11-19 22:30:02.9",1106265893,2.43675,0.221,-0.0855,-8.860657,598.7625,0.5679289,73.26855,248
"2022-11-19 22:30:03",1106265894,2.286,0.518,-1.13925,-8.764984,598.4529,0.5634749,73.21754,248
"2022-11-19 22:30:03.1",1106265895,1.69075,0.46775,-1.6235,-8.653046,598.4593,0.5619945,73.24353,248
"2022-11-19 22:30:03.2",1106265896,1.904,1.41775,-1.2385,-8.524811,598.5931,0.5634863,73.24353,248
"2022-11-19 22:30:03.3",1106265897,-0.18525,-0.9335001,-1.368,-8.714691,598.1923,0.5562519,73.26953,248
"2022-11-19 22:30:03.4",1106265898,0.83525,-0.6375,-0.571,-8.64978,598.3403,0.55772,73.29456,248
"2022-11-19 22:30:03.5",1106265899,1.37925,2.345,-1.54075,-8.571899,598.4303,0.5587581,73.24353,248
"2022-11-19 22:30:03.6",1106265900,1.93475,0.8545001,-2.89425,-8.588104,598.1132,0.5541586,73.26855,248
"2022-11-19 22:30:03.7",1106265901,2.50375,0.9745001,-2.709,-8.505341,598.0645,0.551122,73.26953,248
"2022-11-19 22:30:03.8",1106265902,1.698,0.6475,-3.2065,-8.437195,597.7845,0.5510996,73.26953,248
"2022-11-19 22:30:03.9",1106265903,2.80575,0.6580001,-2.65575,-8.508636,597.9731,0.5492124,73.26953,248
"2022-11-19 22:30:04",1106265904,1.13525,-0.173,-3.2485,-8.521606,598.1525,0.5554483,73.26855,248
"2022-11-19 22:30:04.1",1106265905,3.0785,1.201,-3.5025,-8.589722,598.2775,0.5530968,73.26953,248
"2022-11-19 22:30:04.2",1106265906,3.6835,1.29275,-1.35175,-8.536224,597.9736,0.5528428,73.26953,248
"2022-11-19 22:30:04.3",1106265907,4.05425,-0.7270001,-0.20425,-8.61084,597.9542,0.5535677,73.26952,248
"2022-11-19 22:30:04.4",1106265908,3.32875,0.96275,-0.114,-8.523193,597.6931,0.5511875,73.29456,248
"2022-11-19 22:30:04.5",1106265909,4.12375,0.40075,-0.12725,-8.691956,598.0922,0.5563414,73.24353,248
"2022-11-19 22:30:04.6",1106265910,2.1615,0.56975,1.228,-8.714691,598.6885,0.5707055,73.26855,248
"2022-11-19 22:30:04.7",1106265911,2.882,0.497,-0.35175,-8.675751,598.5422,0.5627869,73.26953,248
"2022-11-19 22:30:04.8",1106265912,3.14425,0.506,-0.13125,-8.515106,598.2673,0.5589892,73.26855,248
"2022-11-19 22:30:04.9",1106265913,3.08225,0.52325,0.8322501,-8.721161,598.8159,0.5683457,73.29456,248
"2022-11-19 22:30:05",1106265914,2.179,0.39625,0.52325,-8.667633,598.7147,0.5657286,73.26855,248
"2022-11-19 22:30:05.1",1106265915,2.68375,0.0495,0.9665,-8.688721,598.3633,0.564871,73.26855,248
"2022-11-19 22:30:05.2",1106265916,2.112,0.1135,1.109,-8.745514,598.8782,0.572743,73.26855,248
"2022-11-19 22:30:05.3",1106265917,1.71325,-0.05375,1.41,-8.902832,598.7861,0.5719109,73.26855,248
"2022-11-19 22:30:05.4",1106265918,1.809,-0.43275,1.318,-8.920685,598.6703,0.5664666,73.24353,248
"2022-11-19 22:30:05.5",1106265919,1.8045,-0.00925,1.3325,-8.87854,598.7755,0.5713664,73.26757,248
"2022-11-19 22:30:05.6",1106265920,1.49525,0.05725,1.60775,-8.946625,598.6309,0.5679621,73.26855,248
"2022-11-19 22:30:05.7",1106265921,1.29,0.3355,1.51725,-8.954742,598.6251,0.571984,73.29456,248
"2022-11-19 22:30:05.8",1106265922,1.31,0.06900001,1.4945,-9.037445,598.7596,0.5702469,73.26953,248
"2022-11-19 22:30:05.9",1106265923,1.5045,0.49675,1.2165,-8.966064,598.8834,0.5722755,73.26953,248
"2022-11-19 22:30:06",1106265924,2.0585,0.41475,0.21375,-8.648163,598.7289,0.5676908,73.26855,248
"2022-11-19 22:30:06.1",1106265925,2.095,0.63025,0.65525,-8.494019,598.5447,0.5654382,73.26953,248
"2022-11-19 22:30:06.2",1106265926,2.22775,0.51825,0.613,-8.625458,598.5657,0.5627702,73.26953,248
"2022-11-19 22:30:06.3",1106265927,1.77925,0.611,0.8537501,-8.716309,598.7108,0.5687082,73.26953,248
"2022-11-19 22:30:06.4",1106265928,1.40725,0.674,1.188,-8.993652,598.7285,0.5673152,73.29456,248
"2022-11-19 22:30:06.5",1106265929,1.5445,0.27375,1.049,-8.948273,598.7409,0.5730432,73.26855,248
"2022-11-19 22:30:06.6",1106265930,1.043,0.2015,1.32325,-8.949829,598.7747,0.5700619,73.24353,248
"2022-11-19 22:30:06.7",1106265931,0.919,0.2415,1.14025,-8.940155,598.8565,0.5729504,73.26855,248
"2022-11-19 22:30:06.8",1106265932,0.87475,0.23175,1.133,-8.95636,598.9904,0.5732735,73.26953,248
"2022-11-19 22:30:06.9",1106265933,1.60925,-0.07,0.8337501,-8.737396,598.8971,0.5645322,73.26953,248
"2022-11-19 22:30:07",1106265934,1.42175,-0.04025,0.31575,-8.795776,598.7941,0.5651078,73.24255,248
"2022-11-19 22:30:07.1",1106265935,1.70725,-0.17875,0.35125,-8.802307,598.742,0.5649513,73.26953,248
"2022-11-19 22:30:07.2",1106265936,1.529,-0.11775,0.7545,-8.721161,598.3029,0.5602001,73.26953,248
"2022-11-19 22:30:07.3",1106265937,1.3825,0.00675,0.85325,-8.846069,598.2137,0.5570057,73.26953,248
"2022-11-19 22:30:07.4",1106265938,0.97175,-0.59325,1.25625,-8.726013,598.3246,0.5582854,73.24353,248
"2022-11-19 22:30:07.5",1106265939,1.1325,-0.7525001,1.261,-8.747101,598.3635,0.5610254,73.26953,248
"2022-11-19 22:30:07.6",1106265940,1.34575,-0.7975,1.10175,-8.833099,598.4889,0.5627995,73.24353,248
"2022-11-19 22:30:07.7",1106265941,1.723,-1.0345,1.37125,-9.155792,598.5801,0.5622336,73.26855,248
"2022-11-19 22:30:07.8",1106265942,2.23,-1.1415,1.167,-9.311371,599.0981,0.5724314,73.29456,248
"2022-11-19 22:30:07.9",1106265943,2.08975,-1.311,0.8807501,-9.426422,599.7459,0.5772716,73.27051,248
"2022-11-19 22:30:08",1106265944,2.18325,-1.13775,0.8190001,-9.447479,600.2924,0.5878136,73.26953,248
"2022-11-19 22:30:08.1",1106265945,2.14025,-0.89,0.8157501,-9.520386,600.3812,0.5929021,73.29456,248
"2022-11-19 22:30:08.2",1106265946,2.1035,-1.26375,0.768,-9.347046,600.4196,0.5933786,73.26855,248
"2022-11-19 22:30:08.3",1106265947,2.00225,-1.40975,0.6695001,-9.475006,600.3738,0.5928831,73.26757,248
