"TOA5","9810","CR3000","9810","CR3000.Std.32.03","CPU:CPk_BBSF_EC7m_20190519.CR3","56695","TimeSeriesData"
"TIMESTAMP","RECORD","Ux_CSAT3B","Uy_CSAT3B","Uz_CSAT3B","Ts_CSAT3B","rho_c_LI7500","rho_v_LI7500","P_LI7500","DIAG_LI7500"
"TS","RN","m/s","m/s","m/s","C","mg/m^3","g/m^3","kPa","unitless"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-11-19 21:00:00.1",1106211865,1.6485,0.05375,-0.306,-9.050415,599.1631,0.6120325,73.26953,248
"2022-11-19 21:00:00.2",1106211866,1.95475,0.0965,-0.162,-8.980682,599.2537,0.6107312,73.26953,248
"2022-11-19 21:00:00.3",1106211867,1.95875,-0.05125,-0.44625,-8.909332,599.2761,0.6132365,73.26953,248
"2022-11-19 21:00:00.4",1106211868,1.9475,-0.04175,-0.38375,-9.035797,599.3593,0.6162548,73.26953,248
"2022-11-19 21:00:00.5",1106211869,1.66725,-0.21425,-0.21075,-9.094177,599.4556,0.6200209,73.26953,248
"2022-11-19 21:00:00.6",1106211870,2.2365,-0.111,-0.036,-9.09903,599.4434,0.6182128,73.26757,248
"2022-11-19 21:00:00.7",1106211871,2.157,-0.071,-0.4805,-8.915802,599.1347,0.6144326,73.26953,248
"2022-11-19 21:00:00.8",1106211872,1.736,-0.083,-0.30675,-8.906097,598.9787,0.608277,73.26953,248
"2022-11-19 21:00:00.9",1106211873,1.785,-0.21175,-0.0925,-9.154144,599.4991,0.6204069,73.24353,248
"2022-11-19 21:00:01",1106211874,1.713,-0.1055,-0.06375001,-9.100677,599.6521,0.6283391,73.29456,248
"2022-11-19 21:00:01.1",1106211875,1.771,-0.212,-0.0105,-9.116882,599.736,0.6259506,73.29456,248
"2022-11-19 21:00:01.2",1106211876,1.68175,-0.25925,-0.02,-9.108795,599.8066,0.6289234,73.26953,248
"2022-11-19 21:00:01.3",1106211877,1.6675,-0.3205,0.083,-9.175232,599.7272,0.6300266,73.26855,248
"2022-11-19 21:00:01.4",1106211878,1.834,-0.342,0.06775001,-9.217377,599.8885,0.6354538,73.26953,248
"2022-11-19 21:00:01.5",1106211879,1.909,-0.44525,0.249,-9.15094,599.9807,0.6280232,73.26953,248
"2022-11-19 21:00:01.6",1106211880,1.8145,-0.49475,0.13225,-8.906097,599.7781,0.6255183,73.26855,248
"2022-11-19 21:00:01.7",1106211881,1.9215,-0.54225,0.05025,-9.178497,599.5762,0.6199514,73.26953,248
"2022-11-19 21:00:01.8",1106211882,2.1725,-0.20725,0.30525,-9.246552,599.399,0.6198366,73.26953,248
"2022-11-19 21:00:01.9",1106211883,1.97125,-0.33875,0.528,-9.240082,599.7152,0.6249232,73.27051,248
"2022-11-19 21:00:02",1106211884,2.148,-0.45125,0.5782501,-9.231964,599.7326,0.6267158,73.32056,248
"2022-11-19 21:00:02.1",1106211885,2.0135,-0.278,0.16525,-9.191467,599.894,0.629738,73.26953,248
"2022-11-19 21:00:02.2",1106211886,2.317,0.02375,0.00775,-9.295166,599.8976,0.6301257,73.26953,248
"2022-11-19 21:00:02.3",1106211887,2.30275,-0.1385,0.09125,-9.309753,600.045,0.6309066,73.26953,248
"2022-11-19 21:00:02.4",1106211888,2.368,-0.21075,0.1575,-9.280579,600.2676,0.6327754,73.26953,248
"2022-11-19 21:00:02.5",1106211889,2.51025,-0.25925,0.23925,-9.325989,600.3192,0.6309123,73.26953,248
"2022-11-19 21:00:02.6",1106211890,2.60975,-0.23025,0.15925,-9.316254,600.159,0.6325448,73.26953,248
"2022-11-19 21:00:02.7",1106211891,2.80125,-0.25725,0.401,-9.329193,600.2049,0.6315432,73.24353,248
"2022-11-19 21:00:02.8",1106211892,3.04325,-0.18025,0.185,-9.334045,599.9617,0.6385598,73.26953,248
"2022-11-19 21:00:02.9",1106211893,3.58375,-0.3205,1.31025,-9.069855,600.1058,0.6403141,73.26953,248
"2022-11-19 21:00:03",1106211894,4.409,-0.07025,-0.09950001,-8.87204,598.9522,0.6197978,73.26953,248
"2022-11-19 21:00:03.1",1106211895,3.5515,-0.264,-1.0035,-8.862305,598.9332,0.6169324,73.29456,248
"2022-11-19 21:00:03.2",1106211896,4.4095,-0.05325,1.18125,-8.782806,598.79,0.6146078,73.29456,248
"2022-11-19 21:00:03.3",1106211897,4.6615,0.7935001,0.54375,-8.685455,598.7675,0.615214,73.26953,248
"2022-11-19 21:00:03.4",1106211898,4.01975,0.34075,0.273,-8.773102,598.6208,0.6165081,73.26953,248
"2022-11-19 21:00:03.5",1106211899,4.085,-1.04425,-0.31875,-8.90448,598.6472,0.6158245,73.26953,248
"2022-11-19 21:00:03.6",1106211900,2.6275,-2.004,0.0755,-8.993652,599.0673,0.6192317,73.26855,248
"2022-11-19 21:00:03.7",1106211901,2.544,-1.417,0.64625,-9.032593,599.4236,0.6281631,73.26855,248
"2022-11-19 21:00:03.8",1106211902,2.17375,-2.05325,0.30375,-9.400513,599.6848,0.6314163,73.26953,248
"2022-11-19 21:00:03.9",1106211903,1.85,-1.988,-0.07875001,-9.045563,600.3969,0.6464071,73.24353,248
"2022-11-19 21:00:04",1106211904,1.73175,-1.0975,0.46575,-9.050415,599.5098,0.6226254,73.26953,248
"2022-11-19 21:00:04.1",1106211905,1.93425,-1.478,0.80975,-8.737396,599.478,0.6238967,73.26953,248
"2022-11-19 21:00:04.2",1106211906,2.42,-2.1595,0.09900001,-8.837952,598.8318,0.6143591,73.26953,248
"2022-11-19 21:00:04.3",1106211907,3.287,-1.4595,0.2115,-8.63678,598.7706,0.614129,73.26953,248
"2022-11-19 21:00:04.4",1106211908,3.30125,-1.6865,-0.63275,-8.549194,598.3625,0.601485,73.26855,248
"2022-11-19 21:00:04.5",1106211909,3.2295,-1.711,-0.56925,-8.489105,598.2181,0.5994396,73.26953,248
"2022-11-19 21:00:04.6",1106211910,3.18075,-1.411,-0.13725,-8.515106,598.2437,0.5980487,73.29456,248
"2022-11-19 21:00:04.7",1106211911,3.06025,-1.10075,0.0625,-8.505341,598.1697,0.5955327,73.24353,248
"2022-11-19 21:00:04.8",1106211912,3.421,-0.7505,0.3275,-8.479401,598.1127,0.5971095,73.24353,248
"2022-11-19 21:00:04.9",1106211913,2.953,-1.36875,0.1035,-8.537781,598.2411,0.5997322,73.26953,248
"2022-11-19 21:00:05",1106211914,2.733,-0.92125,-0.42525,-8.477753,598.3647,0.6020235,73.24255,248
"2022-11-19 21:00:05.1",1106211915,2.686,-1.45525,0.186,-8.536224,598.2793,0.6012161,73.26855,248
"2022-11-19 21:00:05.2",1106211916,3.112,-1.42475,-0.04525,-8.484253,598.3205,0.6011719,73.26953,248
"2022-11-19 21:00:05.3",1106211917,2.71575,-1.47275,0.33675,-8.565369,598.2439,0.5989152,73.26953,248
"2022-11-19 21:00:05.4",1106211918,1.9905,-0.48125,0.35475,-8.516693,598.2849,0.5984293,73.26855,248
"2022-11-19 21:00:05.5",1106211919,2.1525,-0.18875,-0.00625,-8.570282,598.3357,0.6011178,73.26953,248
"2022-11-19 21:00:05.6",1106211920,1.327,-0.41125,-1.1395,-8.497223,598.2736,0.6011198,73.24255,248
"2022-11-19 21:00:05.7",1106211921,1.10475,0.33625,-1.6615,-8.519958,598.2267,0.6006056,73.26855,248
"2022-11-19 21:00:05.8",1106211922,2.54775,-0.17775,-1.607,-8.657867,598.2231,0.5983232,73.26953,248
"2022-11-19 21:00:05.9",1106211923,3.1875,1.7435,-0.9472501,-8.510193,598.3207,0.5999814,73.26855,248
"2022-11-19 21:00:06",1106211924,3.84175,1.26675,-0.41975,-8.680603,598.3113,0.5985647,73.26953,248
"2022-11-19 21:00:06.1",1106211925,2.9285,-0.87775,-1.8255,-8.477753,598.459,0.6079923,73.26855,248
"2022-11-19 21:00:06.2",1106211926,4.2135,-1.446,-1.05475,-8.899628,598.7512,0.6139489,73.26953,248
"2022-11-19 21:00:06.3",1106211927,3.2235,-0.8125001,-1.672,-8.601074,598.4874,0.607655,73.26855,248
"2022-11-19 21:00:06.4",1106211928,4.97575,-0.2495,-0.8695,-8.678955,598.368,0.6043272,73.26855,248
"2022-11-19 21:00:06.5",1106211929,4.41075,-0.18625,-2.75125,-8.635162,598.4238,0.6074376,73.26953,248
"2022-11-19 21:00:06.6",1106211930,3.501,1.1125,-2.3435,-8.545929,598.3846,0.6067426,73.26855,248
"2022-11-19 21:00:06.7",1106211931,3.114,1.79675,-2.17075,-8.536224,598.4858,0.6081098,73.26855,248
"2022-11-19 21:00:06.8",1106211932,2.5535,1.3795,-3.395,-8.61084,598.5129,0.6065215,73.26855,248
"2022-11-19 21:00:06.9",1106211933,2.66125,1.39325,-3.1075,-8.727661,598.4944,0.6073534,73.29456,248
"2022-11-19 21:00:07",1106211934,3.15625,1.85025,-3.57425,-8.680603,598.5768,0.6096877,73.26953,248
"2022-11-19 21:00:07.1",1106211935,2.92725,1.87025,-3.054,-8.575134,598.7108,0.6073422,73.26757,248
"2022-11-19 21:00:07.2",1106211936,3.8575,1.06125,-2.94175,-8.781219,598.6896,0.611556,73.26953,248
"2022-11-19 21:00:07.3",1106211937,3.99925,1.227,-2.854,-8.703339,598.6966,0.6090652,73.26855,248
"2022-11-19 21:00:07.4",1106211938,4.2385,1.62125,-3.38325,-8.753632,598.5421,0.6117971,73.24353,248
"2022-11-19 21:00:07.5",1106211939,4.125,1.4205,-3.35075,-8.683838,598.4598,0.6061142,73.26855,248
"2022-11-19 21:00:07.6",1106211940,4.10725,1.7855,-3.31725,-8.60434,598.4,0.6075945,73.26953,248
"2022-11-19 21:00:07.7",1106211941,3.4365,0.8297501,-2.76375,-8.633575,598.5532,0.6068246,73.26855,248
"2022-11-19 21:00:07.8",1106211942,4.34725,1.34925,-2.83025,-8.722778,598.578,0.607501,73.26855,248
"2022-11-19 21:00:07.9",1106211943,4.67225,1.3085,-2.4165,-8.677338,598.6259,0.6100056,73.29456,248
"2022-11-19 21:00:08",1106211944,5.26125,2.27275,-2.0125,-8.773102,598.7521,0.611241,73.26855,248
"2022-11-19 21:00:08.1",1106211945,4.289,2.2255,-1.91875,-8.66275,598.3754,0.60527,73.26855,248
"2022-11-19 21:00:08.2",1106211946,4.67725,1.76175,-1.50675,-8.761719,598.5242,0.6081061,73.26855,248
"2022-11-19 21:00:08.3",1106211947,4.379,1.473,-1.016,-8.748749,598.4015,0.6090391,73.26953,248
